Category,Question,Answer,Category1,Question1,Answer1,Category2,Question2,Answer2
General,"Seventeen thousand how many camels carried the 117,000 volumes of abdul kassem ismael's library",400,General,Which is the smallest independent country,Vatican city,General,What is the fear of choking or being smothered known as,Pnigophobia
General,Under Michigan State law who are officially classed mechanics,Dentists,Geography,What is the capital of Croatia? ,Zagreb ,General,What is a group of this animal called: Ant,Colony army
General,"Medieval monks invented this stopper, necessary for champagne",Cork,Entertainment,"This 1974 film started a run of nostalgia culminating in the TV series ""Happy Days"".",American Graffiti,General,Who went to sea with silver buckles at his knees,Bobby shaftoe
General,In the body luteinizing hormone is produced by what gland,Pituitary,Religion & Mythology,To where do Muslims make pilgrimage?,Mecca,General,"The celtic queen, Boudicca (Boadicea), allegedly took poison to prevent torture by the Romans after they defeated her rebel forces in battle. Where is she thought to be buried",Kings cross station
Food & Drink,What colour is chablis? ,White ,General,"Who wrote the book ""Darker Than Amber""",John macdonald,General,What sport can you play at Indonesia's Senayan Statium,Badminton
Sports & Leisure,Football: The Denver ____?,Broncos,General,At The Oscars Ceremony In March 2002 Which Film Won The Award For Best Picture,A Beautiful Mind,General,Betsy ross is the only real person to ever have been the head of a ______,Pez dispenser
General,What are the stars in traditional Cornish Star Gazey pie,Pilchards eyes, History & Holidays,Who rode naked through the streets of Coventry,Lady godiva,Science & Nature,What Is The Most Common Blood Group ,O 
General,What is raku,Japanese pottery,Sports & Leisure,Who won the Bahrain Grand Prix at weekend? ,Fernando Alonso ,General,Maclaine how many letters (maximum) can a thoroughbred horse can have in its name,Fourteen
General,Proverbially it was a bold man who  first ate what,An Oyster,General,Which Flemish painter produced Adoration of the Kings,Brueghel,General,How many stars are on the paramount film studio logo,22
Food & Drink,Where is the oldest distillery in the world? ,"The Old Bushmills, Cty Antrim ",General,In what Dickens novel does Alfred Jingle appear,The Pickwick Papers,General,Where would you find Puck Miranda and Ariel,Circling Uranus
General,"What countries days include Fire day, Water day and wood day",Japan Tue Wed Thu,General,What is the Capital of: Cayman Islands,George town,General,Which instrument did George Harrison of the Beatles play?,Lead guitar
General,In golf what would you put in your shag bag,Practice Balls,General,When do diurnal animals sleep,Night time,General,What type of animal is a jennet,Small Spanish horse
General,"Constance Markiewicz, Became The Worlds First Ever What In 1918?",First British Female MP,General,What is a gondola?,Water taxi,General,"What is the nickname for Paterson, New Jersey",Silk city
Sports & Leisure,Which Modern Gymnastics Event Made Its First Appearance At The 2000 Sydney Olympics ,Trampolining ,Music,Whose real name is Annie Mae Bullock,Tina Turner,Geography,"The city of _________ used to be known as Puerto Rico (which means ""rich port"" in Spanish), while the island of Puerto Rico was originally named San Juan.",San juan
General,Burning potassium has what colour flame,Purple,General,Oneirophobia is the fear of,Dreams,General,In 1982 which group declared they were 'hungry like the wolf',Duran duran
General,"Who directed the monochrome (sepia) sequences at the beginning and end of ""the wizard of oz"" (1939)",King vidor,General,"The Lost Island Of ""Naboombu"" Features In Which Disney Movie",Bedknobs & Broomsticks,General,Dactylography is the study and practice of what,Finger printing
 History & Holidays,Who Became premier of Cuba in 1959. ,Fidel Castro ,General,Who won the woman's 400 m hurdles in the 1992 olympics,Sally gunnell,General,Who sang 'any way you want me',Elvis presley
 History & Holidays,According to the song what did my true love give to me on the fifth day of Christmas ,Five Gold Rings ,General,What fruits are sorted for ripeness by bouncing them,Cranberries,Technology & Video Games,"Nolan Bushnell, creator of the first arcade game, also founded the video arcade chain now known as what?                             ",Chuck E. Cheese's
General,What is the cap on the fire hydrant called,Bonnet,General,What does a myrmecologist study,Ants,Music,In Which Lake Did Otis Redding's Plane Crash In 1967,Lake Monoma
 Geography,What is the capital of Philippines ?,Manila,General,Kuala lumpur is the capital of ______,Malaysia,General,What was named after amerigo vespucci,America
Science & Nature,Who Originated The Uncertainty Principle ,Heisenberg ,General,Allium cepa - one of the lilicaea - world most used food item,Onion,General,Who was beaten at the battle of Actium by Octavian,Mark antony
General,What dodgers and cubs first-baseman dropped baseball to take up actin,Chuck,General,In what movie did Sinatra sing My Kind of Town,Robin and the 7 Hoods,Music,"What Group Consisted Of Marki King, Boon Gould, Mike Lindup, Phil Gould",Level 42
General,Which usical instrument was invented by Henry Schluter?,Vibraphone,General,In 1984 Challenger astronauts complete 1st in space satellite,Repair, History & Holidays,Who Provided The Voice Of Charlie In The TV Show 'Charlies Angels'' ,John Forsythe 
General,How long is a silver anniversary,25 years,General,"There were three Kings of England in 1066. Harold and William, of course, and who else",Edward the confessor,Music,What Was The Official Single Of Euro 96,We're In This Together (Simply Red)
Music,Johnny Marr Teamed Up With Which Former New Order Member To Form The Band Electronic,Bernard Sumner,General,What is a group of trout,Hover,General,What is athens' old quarter,Plaka
General,Test of metal or ore for ingredients and quality,Assay,General,What is the Capital of: Romania,Bucharest,General,Which musical features the song 'Happy Talk',"South pacific,"
General,What is a woolly bear,Caterpillar,General,The word rodent comes from the Latin rodere meaning what,To Gnaw,General,Whats traditionally the first event in a rodeo,Bareback riding
General,What is the name of the telescope that was placed in orbit in the eighties?,Hubble,General,"On 'the lucy show', who played vivian bagley",Vivian vance,Science & Nature,Which Large Feline Of Asia Is Sometimes Called An Ounce ,Snow Leopard 
General,"Where was The Beast, the first mobile robot, developed",Johns hopkins,General,What country had Europe's fastest economic growth rate in 1988,Spain,General,You're eating maggots Michael.,Lost Boys
General,The province of Alberta in Canada has been completely free of rats since what year,1905,General,George Hoy-Booth became famous as who,George Formby,General,What Was Founded In The UK In 1694 Because Of Englands War With France,The Bank Of England
General,Arlanda is the airport which serves which European city,Stockholm,General,"From which Marx Brothers film comes the line 'Either he's dead, or my watch has stopped",A day at the races,Religion & Mythology,Who is the Norse god of poetry ?,Bragi
Music,What Group Did Nick Cave Sing With Before Forming The Bad Seeds,The Birthday Party,General,Caterpillar comes from the old French what's it literally mean,Hairy Cat,Science & Nature,How long does it take for Earth to travel around the Sun?,1 Year
Science & Nature,Sound Navigation Ranging is better known as _________.,Sonar,General,What was the first film directed by robert redford,Ordinary people,General,Who made his name with Jimmy James and the Blue Flames,Jimmy Hendrix
General,What is a group of geese called,Gaggle,General,What song gave a 9 year old US a UK No 1 lots weeks 1972/73,Long haired lover from Liverpool,General,Who was the first choice to play Beverley Hills Cop,Sylvester Stallone
Music,"Which Music Festival Was Attended By Over 400,000 People In 1969",Woodstock,General,Allium Sativum is better known as what,Garlic,General,Of who was atahualpa king,Incas
General,The last Nascar driver to serve jail time for running moonshine was who,Buddy arrington,General,Who was kidnapped in Robert Louis Stevenson's Kidnapped,David Balfour,General,Who did pat sajak play on the soapie 'days of our lives',Kevin hathaway
General,"Which Capital City Is Home To ""Carrasco"" International Airport",Montevideo (Uruguay),General,California Valley and a Chinese cabbage what word means both,Napa,Music,Saul Hudson Is The Real Name Of Which Guitarist,Slash
General,The worlds what museum is at 19 Green belt North York Ontario,Contraceptive,General,What is 'applejack',Fermented cider,Music,How many clubs a day did the girl who came in through the bathroom window work at?,Fifteen
General,What is hippopotomonstrosesquippedaliophobia the fear of?,Long words,General,What short term is given to the leader of the Red Arrows aerobatic display team?,Red 1,Food & Drink,If you were eating aloo in an Indian restaurant what would you be eating? ,Potato 
Toys & Games,"In the game of chess, which piece has the most freedom to move?",Queen,Geography,What are drumlins and eskers formed by,Glacier, History & Holidays,Which Of Courtney Cox's Co Stars From The Scream Films Is Now Her Husband ,David Arquette 
Science & Nature,What Is The Function Of The Thyroid Gland ,To Regulate Growth & The Metabolism ,General,Alain Boublil and Claude-Michel Schonberg wrote which hit musical,Les miserables,General,Tethys is a moon of which planet in the solar system?,Saturn
Music,"Who Claimed That ""Mama Gave Birth To The Soul Children""",Queen Latifah,Art & Literature,How Many Holes Are There On A Traditional Artists Pallette? ,One ,General,What type of adornment is a Postiche,Small Hairpiece
Food & Drink,Singapore banned which popular western foodstuff because of litter implicatons? ,Chewing Guim ,General,TAP is the national airline of which country,Portugal,Mathematics,An angle greater than 90 degrees is said to be _________.,Obtuse
General,Metal framework on a vehicle to protect it in the event of a collision with a large animal,Bull bar,General,How many 'Air Force One'(s) are there?,Two,General,In Delaware by law a newlywed must do what if wife asks,Take her Shopping
General,What is a Bellwether,Leader of flock of sheep,General,Non dairy creamer is _________,Flammable,General,Which playwright wrote Lady Windermere's Fan,Oscar wilde
General,As what is 'South West Township' known in south africa,Soweto,Art & Literature,Who wrote the Belgariad ?,Leigh and David Eddings, History & Holidays,Name The Fabulous Winged Horse Of Greek Mythology? ,Pegasus 
General,What is the most important mineral for strong bones & teeth,Calcium,General,Who did the original thugs worship,The Goddess Kali,Entertainment,What was the first cartoon to feature sound,Steamboat willy
 History & Holidays,What asian leader was known as the little brown saint ,Mahatma gandhi ,Music,Which Artists Recorded The Album The Original Soundtrack,10cc, History & Holidays,Which Baltic seaport was the German rocket centre during WWII?,Peenemunde
General,Of who did the u.s postal service print 500 million stamps in 1993,Elvis,General,What word may be used to refer to a group of peacocks,Muster,General,Which 1956 film about the pocket battleship Graf Spec starred John Gregson,Battle of the river plate
General,What is 'bountiful mother' in latin,Alma mater, History & Holidays,What does ALF stand for? ,Alien Life Form ,General,What red fruit is most often eaten in green salads,Tomato
General,What was the name of john lennon and cynthia lennon's son,Sean, History & Holidays,After Much Legal Wrangling Who Became The Controller Of 'The News Of The World'' In 1969 ,Rupert Murdoch ,General,"Who Was Ian Flemming's Top Choice To Play James Bond Before ""Sean Connery"" Eventually Got The Part",Roger Moore
General,Lake Vanern is the largest lake in which country,Sweden,General,In which film did Lee Marvin throw boiling coffee in Gloria Graham's face,The big heat,General,Who sold the most albums on a single day,Elvis 20 million day after death
General,"What is the missing word in english with the letter combination 'uu' vacuum, muumuu, continuum, residuum, duumvir",Duumvirate,General,How long is an elephant pregnant,2 years,Geography,This imaginary line approximately follows the 180 degree meridian through the Pacific Ocean.,International date line
 History & Holidays,Who was the ruler of the USSR from 1917-22? ,Vladimir Lenin ,General,What is measured with an ombrometer,Rainfall,General,What does a Puissance event test in showjumping,High Jump wall
General,Isolophobia is the fear of,"Solitude, being alone", History & Holidays,The song White Christmas was first performed in which 1942 film? ,Holiday Inn ,Art & Literature,"Who wrote ""Ender's Game"" ?",Orson Scott Card
Science & Nature,What Did Jesse Reno Invent Using Traditional Conveyor Belt Principles To Pull Folding Steps Up A Slope ,The Escalator ,General,Who wrote the play 'Rosencrantz and Guildenstein' are dead,Tom stoppard,General,What are you doing if you use the egg position,Skiing
General,"Name the wife of King Ahab, who Jehu ordered to be thrown to her death from a window",Jezebel,General,Where did Mathias Rust land his Cessna in 1987,Red Square Moscow,Science & Nature,Who Designed The Mini And The Morris Minor ,Sir Alexander Issigonis 
General,If not Shakespeare what links Juliet Cleopatra Mark Antony,Commit Suicide,General,Baseball: the san diego _______,Padres,General,A Limousine was originally what (From Limousine in France),French shepherds protective cloak
General,Who was the first person to prove that planets move in elliptical orbits,Kepler,Sports & Leisure,Basketball: The Los Angeles _________.,Lakers,Art & Literature,"What did Jeannie C. Riley describe as ""a little Peyton Place""",Harper valley
General,Who was the first black mayor of Chicago?,Harold Washington,General,How many litres of water vapour can be lost in a large tree in an hour by transpiration,Three hundred, Geography,What is the capital of Iraq ?,Baghdad
Sports & Leisure,Who Won The US Open Men's *Tennis * Title in 1990 At The Age Of Just 19? ,Pete Sampras ,General,The study of the manner in which organisms carry on their life processes is ________,Physiology,Sports & Leisure,Who did Lennox Lewis beat to win his first world heavyweight title? ,"Nobody, Riddick Bowe relinquished his title "
General,Which architect designed London's tallest building The Shard?,Renzo Piano,General,What does 360 degrees make,Circle,General,Pteromerhanophobia is the fear of,Flying
General,"Which meteorological phenomena means ""a curl of hair"" in Latin",Cirrus - clouds,General,Name ship sunk by the submarine Conqueror Falklands War,General Belgrano,General,Whats the secret identity of Don Vito Corleone,The godfather
General,Originally a Toss Pot did a lot of what,Drinking - Alcohol,General,Traditionally there are 100 pleats in what item,A Chefs hat,General,Equinophobia is a fear of ______,Horses
General,What country is Men Without Hats originally from?,Canada,Entertainment,From what platform does the 'Chattanooga Choo Choo' leave Pennsylvania station?,29,General,What is the capitol of Fiji,Suva
Music,What group was Ringo with before the Beatles?,Rory Storm and the Hurricanes,Music,Who introduced Paul McCartney to John Lennon?,Ivan Vaughn,General,What canadian island has a capital named charlottetown,Prince edward island
General,"What Did Bruce Willis, Harvey Keitel & Winston Churchill All have to overcome?",Stutters / Stammers,General,A fisherman in the Arral sea had his boat destroyed by what,A Cow - USA air force dumped it,Science & Nature,What is the name for 0.1 Newtons ?,Dyne
General,What 3 ingredients make a sidecar cocktail,Brandy Cointreau Lemon juice,General,Pak man was called Paka in Japan what does paka mean,Eating,Geography,Which Scottish Loch Is The Deepest ,Loch Ness 
General,Anna Maria Louisa Italiano changed her name to what,Anne Bancroft,General,Eunectes Murinus largest of its kind in South America - what,Annoconda,General,What canadian professional snooker player is nicknamed the grinder,Cliff
General,An Aficionado originally followed what sport,Bullfighting,Science & Nature,What is the atomic number of sulphur?,16,Music,Which 60's Star Was Born In Johannesburg And Christened Michael Lubowitz,Manfred Mann
People & Places,Which is the largest of the Canary Islands? ,Tenerife ,General,What species of fish is caught most,Anchovetta - Anchovy,Science & Nature,What Treatment Involves The Precise Use Of Needles ,Acupuncture 
 History & Holidays,The land that would eventually be known as oklahoma was part of the what in 1803 ,Louisiana purchase. ,General,What were volitos first demonstrated in Soho London in 1823,Roller Skates,General,The traditional Sweedish drink,Aquavit
General,Which U.S. boxer was known as 'The Manessa Mauler',Jack dempsey,General,In Hitchcock's film The Trouble with Harry - what was the trouble,He was dead,Music,Who Wrote The Messiah,Handel
Music,"Who Had Minor Hits With ""Dogs Of Lust"", ""Slow Emotion Replay"" And ""Dis -Infected"" EP",The The,General,"Music What is the narrow, inland sea, separating the Arabian peninsula, western Asia, from northeastern Africa",Red sea,Sports & Leisure,What Is An Oxer ,A Type Of Jump In Show Jumping
General,What does a Stupprator prefer sexually,Virgins,General,"In Gulliver's Travels, from what did the scientists seek to get sunshine",Cucumbers,General,Kenophobia is a fear of ______,Empty spaces
General,An elephant has 400000 what in its trunk,Muscles,General,William Blake Winston Churchill John Lennon what links,Ordained Druids, History & Holidays,"Then name Santa Claus is derived from which language, is it Dutch, French or Italian ",Dutch 
General,The Zagros mountain range is in which country,Iran,Science & Nature, An extinct species of __________ had a head the size of a Shetland pony's and reached a height of more than ten feet.,Kangaroo,General,Which Very Famous Book Which I'm Sure Many Of You Have Read Was Written & Illustrated By “ Eric Carle ” In 1969 ?,The Hungry Hungry Caterpillar
 Geography,What is the highest mountain in the Appalachian range?,Mt. Mitchell,Sports & Leisure,Alex Hurricane Higgins & Jimmy The Whirlwind White But Whats Ronnie O Sullivans Nickname ,Ronnie The Rocket O Sullivan , History & Holidays,Which ship did Charles Darwin captain?,HMS Beagle
General,In South Korea traffic police must report what,Tourists bribes taken,General,Needlework of hooked yarn producing lacy patterned fabric,Crochet,Music,"Who Asked ""What Have You Done For Me Lately"" In 1986",Janet Jackson
General,What does SALT stand for,Strategic arms limitation treaty,Science & Nature,What is a male goose called,Gander,General,Who wrote Candide,Voltaire
General,Which chemical element has the atomic number 4?,Berylium,People & Places,Who Spent A Year In Prison For Sleeping With An Underage Girl ,Graham Rix ,General,Fill in the blank: the ___ Piper,Pied
General,Who had a hit no 5 in US 1971 with Bridge over Troubled Water,Aretha Franklin,General,What is a Fata Morgana,Type of Mirage,Sports & Leisure,Which football team has played at Wembley more times than anyone else? ,Leyton Orient 
 History & Holidays,"William the First was crowned on Christmas day, but in what year ",1066 , History & Holidays,Clement C. Moore wrote a very famous Christmas poem What was it called? ,Twas The Night Before Christmas ,Science & Nature,Which Stock Control System Was Introduced In American Supermarkets in 1974 ,Bar Codes 
General,What country covers an entire continent,Australia,General,Who is on a u.s. bill,Benjamin franklin,General,What is the Capital of: Guam,Hagatna agana
Music,In which film did Donna Summer make her debut as an aspiring disco singer?,Thank God It's Friday,General,Which was the first 'james bond' novel,Casino royale,Music,In Which Year Did Sting Release Fields Of Gold,1993
General,Who was responsible for driving the english out of scotland in 1297,William,General,What is studied in the science of somatology,The Body,General,"Harrison What do the San Joaquin kit fox, Hawaiian hawk and Ocelot have in common",Endangered species
Music,Which duo released albums called Introspective and Very?,Pet Shop Boys,General,What is the last book of the Bible,Revelations,General,What is a group of this animal called: Monkey,Troop
General,What is the front of a saddle called?,Pommel, History & Holidays,In Which Scary Movie Will You Find The Character Martin Brody ,Jaws ,General,What name is given to the group of animals that eat meat,Carnivores
General,Fried Chicken Strawberry Shortcake trad Xmas eve meal where,Japan,General,"Which European country has regions named Limburg, Drente and Brabant",Netherlands,Music,According The Who keeps a ten bob note up his nose?,Mean Mr. Mustard
General,U.S. Captials - Michigan,Lansing,General,What does an animal have if it is a fish,Gills, History & Holidays,John Callcott Horsley designed what first commercial Christmas item in 1843? ,Christmas card 
General,Which epic film was based on a novel by Lew Wallace,Ben hur,Food & Drink,What Eastern Fruit Comes In A Shell ,The Lychee ,Entertainment,Pancho was whose faithful sidekick?,Cisco Kid's
General,What are the young of a rabbit called,Kittens,General,In which film based on a James Jones novel does Deborah Kerr embrace on the beach with Burt Lancaster,From here to eternity,General,"Which company slogan was ""We're No 2 We try harder""",Avis rent a car
Music,"Paul wrote ""Martha My Dear"". Who did he know who was named Martha?",His Dog,General,Officers how many british officers were forced by indian troops into the black hole of calcutta,146,General,Who rejected the 1964 Nobel prize for literature,Jean Paul Sarte
Music,Who filled in for Ringo on the Beatles' 1964 world tour?,Jimmy Nicol,General,STDs are the most costly health problem in the USA what's 2nd,Dog Bites,General,What is the capital of texas,Austin
General,What planet did Alf come from?,Melmac,Music,Which Country Are Bachman Turner Overdrive From,Canada,General,Which country is the largest in Africa,Sudan
General,Who wrote dionne warwick's 'walk on by' and 'say a little prayer',Burt,General,What is the tenth letter of the Greek alphabet,Kappa,General,Who wrote the book The Puppet Masters later a film,Robert Heinlein
General,What is the technical difference between rowing and sculling,Rowing means using a single oar,General,What links Hong Kong Singapore Rio and Utopia,Road Films,General,What is a group of travelling wolves,Route
General,"Outside poland, where is the largest polish population",Chicago,Geography,In which continent would you find the amur river ,Asia ,General,Where would you find or what are guntlines,Rope - groves
General,In The Film Saving Private Ryan What Was Private Ryan's First Name?,James,Music,Length of the longest Beatles track,"Revolution 9,'' from the White Album",Art & Literature,Who wrote the threepenny opera?,Bertolt Brecht
General,"What song won the grammy for ""song of the year"" in 1977",You light up my,General,What part of a horse would you look at to determine its age,Teeth,General,What is the Capital of: Denmark,Copenhagen
Music,Which Band From Manchester Incluides The Former Entertainments Manager From The Hacienda (Nightclub),M People,General,Which Well Known Gangster Lives At “ 36 Cherry Blossom Close ”,Ali G,General,What organization was given the only Nobel Peace Price awarded during World War I,International Red Cross
General,How did George II die,Fell off toilet,General,What is the fear of home surroundings or house known as,Oikophobia,General,What is the flower that stands for: reverie,Flowering gern
General,"Electric, Perse and smalt shades of which colour",Blue,General,Sorrowful song or poem,Elegy,Art & Literature,"Who wrote the novels 'About A Boy'', 'How To Be Good'' and 'High Fidelity''? ",Nick Hornby 
General,Every day in the US people steal $20000 from where,Vending machines,People & Places,Who wrote the book 'The Guns Of Navarone'' ,Alistair McClaine ,Geography,In what country is the jutland peninsula ,Denmark 
General,"Who wrote ""The Picture of Dorian Grey""",Oscar wilde,General,"What country controls access to the North Sea from the rivers Schelde, Meuse and Rhine",Netherlands,General,Who is always the victim the game of Cluedo,Dr. black
General,Indiana jones: who was known to get lost in his own museum,Marcus brody,General,"What was the name of the first ""portable"" computer?",Osbourne,Music,Who Wrote Pink Cadillac For Natalie Cole,Bruce Springsteen
General,"In Which Childrens TV Show Will You Find The Characters Of ""Florrie & Baby Pom""",The Fimbles,Food & Drink,What is the most widely eaten meat in the world? ,Pork ,General,What is the SI unit of pressure or stress,Pascal
General,Mr Chips said goodbye from Brookfield school - What subject,Latin,Science & Nature,The molten material from a volcano is ________?,Lava,General,"Who released 'time, love and tenderness' in 1981",Michael bolton
General,Where is the worlds largest mine,Carletonville South Africa,General,What WasMichael Barymores Occupation Before He Found Fame As A TV Star,Hair Dresser,General,The Walibri tribe central Australia greet each other how,Shaking Penises
General,Florence Nightingale tended the soldiers in which war,Crimean,General,Phineas Barnum opened his circus in what year,1871,General,In Hill Street Blues which character used to bite people,Animal - Mick
General,What is the name of the cord joining a mother & her unborn child,Umbilical cord,General,What is the next-to-next-to-last event,Antepenultimate,General,Who in US was given Hitler's Supreme Order of German Eagle,Henry Ford
General,What Is Joseph Cyril Bamfords Claim To Fame?,The JCB Earth Mover,General,"Which railway tunnel, 20 kilometres long, joining Isselle in Italy with Brig in Switzerland, is cut under Mount Leone in the Alps",Simplon tunnel,Music,Who Sang Gonna Fly Now (Theme From Rocky) In 1977,Bill Conti
 Language,"The name for this semi-precious stone comes from the Latin for ""sea water""",Aquamarine,General,What is the flower that stands for: consolation,Red poppy,General,Where Was Britains First Escalator Installed,Harrods
Music,What Name Appears In The Title Of Both A Beatles Hit And A Novel By ThomasHardy?,Jude,Sports & Leisure,Can you name 2 British golfers to win the US Masters in the 1990's? ,Nick Faldo & Ian Woosnam ,General,Why did the USA govt open Lincolns coffin in 1887 and 1901,Check body still there
General,"An atom is comprized of these 3 subatomic particles: electron, neutron, & _____",Proton, History & Holidays,Who succeeded Churchill when he resigned in 1955,Sir anthony eden,Sports & Leisure,Which Two Sports Comprise A Biathlon? (PFE) ,Cross Country Skiing & Rifle Shooting 
Music,Which Group Comprises Of Colin Angus And Mr C,The Shamen,General,Henri Charrier is better known by what nickname,Papillion – The Butterfly,General,What is the most northerly town in Europe,Hammerfest
General,What are the colours of the Olympics rings (in order).?,Blue Yellow Black Green Red,General,For whom was buckingham palace built,John sheffield,General,Idaho Falls Idaho its illegal for over 88 year olds to do what,Ride a motorcycle
General,Who Was The First Woman To Appear Naked On The Front Cover Of The Radio Times,Helen Mirren,Food & Drink,"Booze Name: 1 oz. gin, 1/2 oz. dry vermouth, 1/2 oz. sweet vermouth, 1/2 oz. orange juice",Bronx cocktail,General,There are more the 38000 types of what,Mushrooms
General,What was known as the spice island,Zanzibar,General,Leslie Sebastian Charles is better known as who,Billy Ocean,Music,Silver Convention was a studio-created group. In which country was the studio situated?,Germany
General,In which county is Charnwood Forest,Leicestershire,General,What is the fear of the night known as,Noctiphobia,General,The telephone county code 39 would connect you with _____,Italy
General,What is the name of the Tokyo Stock Market Index,Nikkei,General,"In the monty python parody 'search for the holy grail', what was arthur's trusty servant's name",Patsy,General,"In Greek mythology, who was the first woman on Earth, created by Hephaestus at the request of Zeus",Pandora
General,"In The Pilgrim's Progress, which city of Christian's final destination",Celestial city,General,"The original name for this Pontiac car was the Banshee, for its mythicality.",Firebird,General,The star Aldebran is part of which constellation?,Taurus
Science & Nature,What Do You Get If A Male Donkey Breeds With A Horse? ,A Mule ,General,What would an Irishman do with his shone,Cut Peat,Geography,What is the capital of Bosnia and Hercegovina,Sarajevo
Sports & Leisure,How Many Suits Are There In A Game Of (Mah Jong) ,3 Suits ,General,In Which Country Is The Chernobyl Nuclear Power Plant That Had A Melt Down Causing Widespread Radioactive Fallout,"Ukraine, 1986",Music,Name The Kajagoogoo's Debut Single,Too Shy
Food & Drink,Who released the following album 'Strange brew ' ,Cream ,Art & Literature,Which Of Jane Austens Novels Was Publsihed Posthumously ,Persuasion ,General,In what book did we meet the Eoli and the Morlocks,The Time Machine – HG Wells
General,What is the derivative of sin x,Cos x,Food & Drink,What is the name for the liquid butter used in Indian cooking? ,Ghee , Language,Which is the only english word that contains all the vowels in alphabetical order?,Facetious
General,What name is given to the fraction part of a logarithm number?,Mantissa,General,What U.S. state includes the telephone area code 701,North dakota,General,Who played the role of Miss Hannigan in the film Annie,Carol Burnett
